state,zipcode,hash_codes,closed_won_percentage
WA,7030,0061K00000kpQ0R,100.0
AZ,3598,0061K00000kpO05,100.0
CA,33759,0061K00000kpEqk,0.0
CA,32207,0061K00000kOxor,0.0
CO,85016,0061K00000k3Pzt,100.0
WA,90027,"0061K00000k3kdI, 0061K00000k35D2",0.0
OH,63141,0061K00000k2UcZ,0.0
PA,45219,0061K00000k2oTq,100.0
OH,80112,0061K00000k1XAe,0.0
TN,98405,0061K00000k1EDy,0.0
PA,19087,0061K00000k0tDa,0.0
NE,45429,0061K00000k0BLF,0.0
SC,93306,0061K00000jVZNI,0.0
OH,15213,0061K00000jVwgu,0.0
GA,68845,0061K00000jVksz,0.0
GA,3102,0061K00000jV3Ou,0.0
NY,29646,0061K00000jUhha,0.0
PA,14203,0061K00000jTF5J,0.0
CA,45750,"0061K00000jTEIe, 0061K00000hxcGf",0.0
PA,30117,"0061K00000jTAze, 0061K00000hwYz2",0.0
CA,31701,"0061K00000jT2kD, 0061K00000hwfqe",0.0
AR,10065,"0061K00000ipJJr, 0061K00000hvMZ1",0.0
MO,19406,0061K00000ipJJr,0.0
TN,92868,0061K00000ioytq,0.0
MI,19104,0061K00000iouQG,0.0
AZ,94602,0061K00000hwYz2,0.0
FL,72601,0061K00000hvMZ1,0.0
MA,64506,0061K00000huJjk,0.0
TX,38105,0061K00000h9QBQ,0.0
MI,48202,0061K00000h9Bgm,0.0
MS,85712,0061K00000h7yvD,0.0
MN,1201,0061K00000h7yuK,0.0
NY,76011,0061K00000h6jwx,0.0
HI,48503,0061K00000h6hNm,0.0
TX,38801,0061K00000gUfLu,0.0
TN,40223,0061K00000gUdpW,0.0
IL,55415,0061K00000fvP5f,0.0
NY,37920,0061K00000c4njV,0.0
TX,60901,0061K00000lRKfD,0.0
MO,6106,0061K00000lRIBo,0.0
TX,5701,"0061K00000lR9dm, 0061K00000eGZeI",0.0
TX,10017,"0061K00000lQnLj, 0061K00000c4njV, 0061K00000k2oTq",0.0
AZ,77030,0061K00000lQmFq,0.0
PA,65301,0061K00000lQeMa,0.0
NH,79601,0061K00000lQE9R,0.0
NY,15801,0061K00000lQDjm,100.0
IL,75203,0061K00000kZCTo,0.0
IL,85008,0061K00000kYn1C,0.0
ID,17822,"0061K00000kYFZF, 0061K00000kwvSE",0.0
UT,3833,0061K00000kYCI0,0.0
OH,10004,0061K00000kXvjS,100.0
OH,61801,0061K00000ksUL4,100.0
LA,83712,0061K00000ksMnz,0.0
CO,84111,0061K00000ksM2t,0.0
CA,45237,0061K00000ksLv2,0.0
IN,91405,0061K00000ksLmF,0.0
CO,45404,"0061K00000ksL3T, 0061K00000krr1m",0.0
NY,70634,0061K00000ksGKu,0.0
MA,81505,0061K00000ks6KG,0.0
AR,90027,0061K00000ks4PF,0.0
OK,46131,0061K00000ks2qa,0.0
SD,11201,0061K00000ks1xJ,0.0
PA,71603,0061K00000krTI9,0.0
